Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
1700123I01Rik,NM_001165919,0,1,1,2,0.5,1.5,3,0.756647998
Cldn14,NM_001165925,0,0,0,0,0,0,0,1
Cldn14,NM_001165926,0,0,0,0,0,0,0,1
Ccdc78,NM_001165929,7,1,0,1,4,0.5,-8,0.606055843
Glt8d1,NM_001165930,315,185,129,147,250,138,-1.811594203,0.891394899
Ucma,NM_001165932,0,0,0,0,0,0,0,1
Rgs9,NM_001165934,11,3,450,499,7,474.5,67.78571429,1.54E-202
Aven,NM_001165935,653,405,286,273,529,279.5,-1.892665474,0.307032608
Tshb,NM_001165939,0,0,0,0,0,0,0,1
Tshb,NM_001165940,0,0,0,0,0,0,0,1
Nsun6,NM_001165941,163,103,71,74,133,72.5,-1.834482759,0.872561036
Nsun6,NM_001165942,49,42,33,28,45.5,30.5,-1.491803279,1
Nsun6,NM_001165943,133,85,53,58,109,55.5,-1.963963964,0.507496064
Olfr819,NM_001165944,0,0,0,0,0,0,0,1
Pogz,NM_001165948,1080,734,733,669,907,701,-1.293865906,0.002650643
Pias3,NM_001165949,142,95,41,33,118.5,37,-3.202702703,2.56E-05
Gm10267,NM_001165950,0,0,0,0,0,0,0,1
Vangl1,NM_001165951,3,3,1,4,3,2.5,-1.2,1
Trim45,NM_001165952,212,131,58,73,171.5,65.5,-2.618320611,0.000748357
Trim45,NM_001165953,242,165,66,80,203.5,73,-2.787671233,2.68E-05
Phc3,NM_001165954,1297,750,652,573,1023.5,612.5,-1.671020408,1
Phc3,NM_001165955,1297,750,652,573,1023.5,612.5,-1.671020408,1
Phc3,NM_001165956,1277,735,643,565,1006,604,-1.665562914,1
Txndc6,NM_001165957,0,0,0,0,0,0,0,1
Fndc7,NM_001165965,24,19,38,34,21.5,36,1.674418605,3.34E-06
Pglyrp4,NM_001165968,0,0,0,0,0,0,0,1
Gm5803,NM_001165971,2,4,5,6,3,5.5,1.833333333,0.235991713
Dcaf17,NM_001165980,799,508,238,239,653.5,238.5,-2.740041929,1.66E-08
Dcaf17,NM_001165981,109,77,49,56,93,52.5,-1.771428571,1
Dcaf17,NM_001165982,52,33,27,27,42.5,27,-1.574074074,1
Ubap2l,NM_001165983,2391,1651,1402,1139,2021,1270.5,-1.590712318,1
Ubap2l,NM_001165984,2391,1651,1402,1139,2021,1270.5,-1.590712318,1
Ubap2l,NM_001165985,2359,1594,1344,1115,1976.5,1229.5,-1.60756405,1
Ubap2l,NM_001165986,2359,1594,1344,1115,1976.5,1229.5,-1.60756405,1
Ubap2l,NM_001165987,2331,1577,1331,1098,1954,1214.5,-1.608892548,1
Ubap2l,NM_001165988,2331,1577,1331,1098,1954,1214.5,-1.608892548,1
Ckap5,NM_001165989,4166,2597,2201,2133,3381.5,2167,-1.560452238,0.641932646
Arfrp1,NM_001165991,793,544,609,648,668.5,628.5,-1.063643596,2.36E-08
Arfrp1,NM_001165992,768,540,591,635,654,613,-1.066884176,3.84E-08
Arfrp1,NM_001165995,768,540,591,635,654,613,-1.066884176,3.84E-08
Musk,NM_001165996,0,0,0,0,0,0,0,1
Spopl,NM_001165997,434,278,211,234,356,222.5,-1.6,1
Spopl,NM_001165998,429,272,202,226,350.5,214,-1.637850467,1
Lingo2,NM_001165999,0,0,0,0,0,0,0,1
Lingo2,NM_001166000,0,0,0,0,0,0,0,1
Lingo2,NM_001166001,0,0,0,0,0,0,0,1
Tmem215,NM_001166009,0,0,0,0,0,0,0,1
Arfgap2,NM_001166024,1323,917,714,644,1120,679,-1.649484536,1
Skint11,NM_001166027,0,0,0,0,0,0,0,1
Slfn14-ps,NM_001166028,0,0,0,1,0,0.5,0,1
2010015L04Rik,NM_001166029,93,62,137,150,77.5,143.5,1.851612903,2.34E-20
Mylk4,NM_001166030,0,0,0,0,0,0,0,1
Mrps2,NM_001166031,1568,1113,261,338,1340.5,299.5,-4.475792988,1.13E-35
Gtf3c4,NM_001166033,3863,2521,1014,1050,3192,1032,-3.093023256,3.84E-18
Gm16381,NM_001166062,0,0,0,0,0,0,0,1
Ccdc152,NM_001166063,0,0,0,0,0,0,0,1
Syde2,NM_001166064,185,103,15,20,144,17.5,-8.228571429,1.61E-20
Gcnt4,NM_001166065,0,1,0,1,0.5,0.5,1,1
Heatr7b2,NM_001166066,0,0,0,0,0,0,0,1
Slc4a5,NM_001166067,1,0,1,0,0.5,0.5,1,1
Armc8,NM_001166138,71,63,82,86,67,84,1.253731343,5.09E-07
Krt81,NM_001166157,0,0,0,0,0,0,0,1
Ccdc74a,NM_001166164,5,2,4,1,3.5,2.5,-1.4,1
Lce6a,NM_001166172,0,0,0,0,0,0,0,1
Dmkn,NM_001166173,0,0,0,0,0,0,0,1
Dmkn,NM_001166174,0,0,0,0,0,0,0,1
Arsg,NM_001166177,910,644,329,386,777,357.5,-2.173426573,0.001867972
Erv3,NM_001166206,0,0,0,0,0,0,0,1
Dpy19l2,NM_001166207,0,0,0,0,0,0,0,1
Myh15,NM_001166210,0,0,0,1,0,0.5,0,1
Fam129c,NM_001166213,25,26,6,9,25.5,7.5,-3.4,0.03457696
Zfp712,NM_001166218,55,36,54,81,45.5,67.5,1.483516484,1.46E-08
Mgll,NM_001166249,0,0,0,0,0,0,0,1
Mgll,NM_001166250,0,0,0,0,0,0,0,1
Mgll,NM_001166251,0,0,0,0,0,0,0,1
Cspg5,NM_001166273,1,4,0,0,2.5,0,0,0.290371755
Ccdc33,NM_001166282,0,0,0,1,0,0.5,0,1
Serpina11,NM_001166350,0,0,2,1,0,1.5,0,0.290371755
6030458C11Rik,NM_001166360,96,65,22,26,80.5,24,-3.354166667,0.000184782
Fgf8,NM_001166361,0,0,0,0,0,0,0,1
Fgf8,NM_001166362,0,0,0,0,0,0,0,1
Fgf8,NM_001166363,0,0,0,0,0,0,0,1
2310046O06Rik,NM_001166364,272,175,59,77,223.5,68,-3.286764706,1.94E-08
Fam122b,NM_001166365,393,267,74,88,330,81,-4.074074074,2.02E-16
Fkbp2,NM_001166368,340,205,167,121,272.5,144,-1.892361111,0.446941468
Trmt112,NM_001166370,565,439,318,293,502,305.5,-1.643207856,1
Zfml,NM_001166371,897,591,475,463,744,469,-1.586353945,1
1-Mar,NM_001166372,19,9,17,11,14,14,1,0.160291491
1-Mar,NM_001166375,20,10,19,11,15,15,1,0.184361981
Ms4a6c,NM_001166376,26,19,149,141,22.5,145,6.444444444,3.05E-55
Armcx1,NM_001166377,0,0,0,0,0,0,0,1
Armcx1,NM_001166378,0,0,0,0,0,0,0,1
Armcx1,NM_001166379,0,0,0,0,0,0,0,1
Armcx1,NM_001166380,0,0,0,0,0,0,0,1
Rad52,NM_001166381,55,37,33,24,46,28.5,-1.614035088,1
Rad52,NM_001166382,55,37,33,24,46,28.5,-1.614035088,1
Rad52,NM_001166383,44,25,25,19,34.5,22,-1.568181818,1
Rbmy1a1,NM_001166384,0,0,0,0,0,0,0,1
Sp4,NM_001166385,294,225,99,78,259.5,88.5,-2.93220339,3.63E-07
Ptp4a3,NM_001166388,359,220,51,64,289.5,57.5,-5.034782609,9.59E-21
Ptp4a3,NM_001166389,356,218,51,63,287,57,-5.035087719,1.19E-20
Ptp4a3,NM_001166390,168,110,18,29,139,23.5,-5.914893617,3.31E-15
F13a1,NM_001166391,34,78,7,10,56,8.5,-6.588235294,4.52E-09
4931428F04Rik,NM_001166394,184,117,200,137,150.5,168.5,1.119601329,1.18E-08
Armcx2,NM_001166397,0,0,0,0,0,0,0,1
Armcx2,NM_001166398,0,0,0,0,0,0,0,1
Rab3a,NM_001166399,51,36,5,5,43.5,5,-8.7,6.57E-08
Tnfaip3,NM_001166402,352,230,7101,7354,291,7227.5,24.83676976,0
Kif20a,NM_001166406,2039,1494,346,271,1766.5,308.5,-5.726094003,1.23E-56
Kif20a,NM_001166407,1986,1450,331,266,1718,298.5,-5.755443886,1.26E-56
Rai14,NM_001166408,1648,1026,966,846,1337,906,-1.475717439,0.205639571
Rbm3,NM_001166409,1675,798,939,884,1236.5,911.5,-1.356555129,0.004551322
Rbm3,NM_001166410,1675,798,939,884,1236.5,911.5,-1.356555129,0.004551322
Rbm3,NM_001166411,1675,798,939,884,1236.5,911.5,-1.356555129,0.004551322
Arhgef25,NM_001166413,21,21,9,7,21,8,-2.625,0.268861106
Rfx3,NM_001166414,44,30,23,15,37,19,-1.947368421,0.978893209
Med23,NM_001166416,474,319,258,276,396.5,267,-1.485018727,0.429082956
Hnrnpf,NM_001166427,19466,13568,9510,8832,16517,9171,-1.801003162,0.423481423
Hnrnpf,NM_001166428,19450,13554,9507,8827,16502,9167,-1.800152722,0.428330219
Hnrnpf,NM_001166429,19449,13553,9506,8827,16501,9166.5,-1.800141821,0.428368732
Hnrnpf,NM_001166430,19675,13683,9626,8932,16679,9279,-1.797499731,0.446196808
Hnrnpf,NM_001166431,19675,13683,9626,8932,16679,9279,-1.797499731,0.446196808
Hnrnpf,NM_001166432,19454,13557,9509,8827,16505.5,9168,-1.800338133,0.427357916
AU022751,NM_001166433,0,0,0,0,0,0,0,1
Tbc1d25,NM_001166437,198,151,134,120,174.5,127,-1.374015748,0.219931004
Slc25a14,NM_001166450,64,43,38,29,53.5,33.5,-1.597014925,1
Pls3,NM_001166453,467,343,589,649,405,619,1.528395062,2.75E-30
Pls3,NM_001166454,467,343,589,649,405,619,1.528395062,2.75E-30
Slc38a1,NM_001166456,7637,4894,6318,6217,6265.5,6267.5,1.000319208,6.34E-14
Brcc3,NM_001166457,522,333,352,309,427.5,330.5,-1.293494705,0.007611551
Slc38a1,NM_001166458,7622,4897,6296,6209,6259.5,6252.5,-1.001119552,7.69E-14
Brcc3,NM_001166459,111,83,84,70,97,77,-1.25974026,0.093574842
Spock1,NM_001166463,0,0,0,0,0,0,0,1
Spock1,NM_001166464,0,0,0,0,0,0,0,1
Spock1,NM_001166465,0,0,0,0,0,0,0,1
Spock1,NM_001166466,0,0,0,0,0,0,0,1
Vmac,NM_001166474,79,58,9,8,68.5,8.5,-8.058823529,2.73E-11
4930407I10Rik,NM_001166475,0,0,0,0,0,0,0,1
Hmga1-rs1,NM_001166476,10655,8373,7106,6677,9514,6891.5,-1.380541246,0.026175701
Hmga1-rs1,NM_001166477,10655,8373,7106,6677,9514,6891.5,-1.380541246,0.026175701
Ssr4,NM_001166480,279,257,157,154,268,155.5,-1.723472669,1
Mthfsd,NM_001166482,274,182,112,95,228,103.5,-2.202898551,0.024288888
Rasgrp3,NM_001166493,5978,3730,340,248,4854,294,-16.51020408,2.21E-186
Zpbp2,NM_001166494,1,1,1,0,1,0.5,-2,1
Zpbp2,NM_001166495,1,1,1,0,1,0.5,-2,1
3110052M02Rik,NM_001166497,93,59,38,32,76,35,-2.171428571,0.243123628
Dennd1b,NM_001166501,1037,635,1609,1481,836,1545,1.848086124,1.12E-54
Slc39a11,NM_001166503,387,256,165,119,321.5,142,-2.264084507,0.003769984
Sec14l1,NM_001166506,2269,1579,667,621,1924,644,-2.98757764,1.75E-15
Sec14l1,NM_001166507,786,549,249,224,667.5,236.5,-2.822410148,9.68E-10
Sfmbt1,NM_001166531,814,510,568,641,662,604.5,-1.095119934,1.36E-07
Sfmbt1,NM_001166532,817,510,569,643,663.5,606,-1.094884488,1.30E-07
Hmga1,NM_001166535,10658,8378,7108,6681,9518,6894.5,-1.380520705,0.026183843
Hmga1,NM_001166536,10655,8373,7106,6677,9514,6891.5,-1.380541246,0.026175701
Hmga1,NM_001166537,10685,8397,7122,6695,9541,6908.5,-1.381052327,0.026553639
Hmga1,NM_001166539,10655,8373,7106,6677,9514,6891.5,-1.380541246,0.026175701
Hmga1,NM_001166540,10655,8373,7106,6677,9514,6891.5,-1.380541246,0.026175701
Hmga1,NM_001166541,10656,8373,7106,6677,9514.5,6891.5,-1.3806138,0.026208868
Hmga1,NM_001166542,10655,8373,7106,6677,9514,6891.5,-1.380541246,0.026175701
Hmga1,NM_001166543,11352,8830,7533,7081,10091,7307,-1.381004516,0.025417604
Hmga1,NM_001166544,10647,8368,7102,6671,9507.5,6886.5,-1.380599724,0.026222797
Hmga1,NM_001166545,10656,8373,7106,6677,9514.5,6891.5,-1.3806138,0.026208868
Hmga1,NM_001166546,10656,8373,7106,6677,9514.5,6891.5,-1.3806138,0.026208868
Eif4enif1,NM_001166547,1810,1334,1062,959,1572,1010.5,-1.555665512,0.840550667
Eif4enif1,NM_001166548,1810,1334,1061,959,1572,1010,-1.556435644,0.846947464
Eif4enif1,NM_001166549,1810,1336,1067,959,1573,1013,-1.552813425,0.817240155
Zbed6,NM_001166552,1828,1009,1456,1318,1418.5,1387,-1.022710887,6.06E-12
Rnf145,NM_001166553,192,128,170,180,160,175,1.09375,2.40E-08
Abca6,NM_001166556,32,18,0,0,25,0,0,4.83E-10
Abca6,NM_001166557,24,18,0,0,21,0,0,1.91E-08
8430408G22Rik,NM_001166580,0,0,2,0,0,1,0,0.94949084
BC005561,NM_001166581,254,159,149,166,206.5,157.5,-1.311111111,0.046210551
Fam122b,NM_001166583,279,190,56,62,234.5,59,-3.974576271,7.57E-13
Tead1,NM_001166584,0,0,0,0,0,0,0,1
Tead1,NM_001166585,0,0,0,0,0,0,0,1
Eif5a,NM_001166589,17814,11985,10581,10030,14899.5,10305.5,-1.445781379,0.087483157
Eif5a,NM_001166590,17487,11723,10382,9889,14605,10135.5,-1.440974792,0.077212305
Eif5a,NM_001166591,17814,11985,10581,10030,14899.5,10305.5,-1.445781379,0.087483157
Eif5a,NM_001166592,17423,11684,10356,9863,14553.5,10109.5,-1.439586528,0.074659357
Eif5a,NM_001166593,17422,11684,10356,9863,14553,10109.5,-1.439537069,0.074592395
Eif5a,NM_001166594,17423,11684,10356,9863,14553.5,10109.5,-1.439586528,0.074659357
Eif5a,NM_001166595,17422,11684,10356,9863,14553,10109.5,-1.439537069,0.074592395
Eif5a,NM_001166596,17422,11684,10356,9863,14553,10109.5,-1.439537069,0.074592395
Dgkz,NM_001166597,2524,1732,950,786,2128,868,-2.451612903,1.25E-07
Gm16430,NM_001166601,0,0,0,0,0,0,0,1
Chn1,NM_001166603,5,2,4,0,3.5,2,-1.75,1
Chn1,NM_001166604,5,2,4,0,3.5,2,-1.75,1
Fmr1nb,NM_001166619,0,0,0,0,0,0,0,1
Fmr1nb,NM_001166620,0,0,0,0,0,0,0,1
Rbmx,NM_001166623,273,165,482,457,219,469.5,2.143835616,1.67E-47
Ccr9,NM_001166625,1,0,3,4,0.5,3.5,7,0.023338864
Dynlt1f,NM_001166627,1,0,0,0,0.5,0,0,1
Dynlt1a,NM_001166629,85,97,49,43,91,46,-1.97826087,0.35300983
Dynlt1c,NM_001166630,0,0,0,0,0,0,0,1
Havcr1,NM_001166631,0,0,0,0,0,0,0,1
Havcr1,NM_001166632,0,0,0,0,0,0,0,1
Gyltl1b,NM_001166633,0,0,0,0,0,0,0,1
Gm4302,NM_001166634,0,0,0,0,0,0,0,1
Mid1ip1,NM_001166635,1056,717,453,357,886.5,405,-2.188888889,0.001061995
Gm4312,NM_001166636,0,0,0,0,0,0,0,1
Gm4301,NM_001166637,0,0,0,0,0,0,0,1
Gm4303,NM_001166638,0,0,0,0,0,0,0,1
Gm4305,NM_001166639,0,0,0,0,0,0,0,1
Csrp2bp,NM_001166640,1399,967,329,271,1183,300,-3.943333333,3.49E-27
Gm4307,NM_001166641,0,0,0,0,0,0,0,1
Bcas3,NM_001166642,244,176,73,59,210,66,-3.181818182,9.93E-08
Bcas3,NM_001166643,244,176,73,59,210,66,-3.181818182,9.93E-08
Zfp651,NM_001166644,1,1,0,2,1,1,1,1
Zfp882,NM_001166645,1,3,0,0,2,0,0,0.531327076
Gm16405,NM_001166646,0,0,0,0,0,0,0,1
Zfp280c,NM_001166648,637,342,139,129,489.5,134,-3.652985075,8.72E-16
Zfp280c,NM_001166649,626,331,137,126,478.5,131.5,-3.63878327,1.61E-15
Zfp280c,NM_001166650,628,339,139,129,483.5,134,-3.608208955,2.81E-15
Klhl33,NM_001166651,84,48,4,9,66,6.5,-10.15384615,2.19E-12
Cdkl3,NM_001166653,14,22,21,21,18,21,1.166666667,0.036161313
Cdkl3,NM_001166654,15,21,22,21,18,21.5,1.194444444,0.02829579
Cdkl3,NM_001166655,15,22,26,19,18.5,22.5,1.216216216,0.024322738
Cdkl3,NM_001166656,13,20,18,18,16.5,18,1.090909091,0.098595098
Cdkl3,NM_001166657,10,19,16,15,14.5,15.5,1.068965517,0.196311003
Cdr1,NM_001166658,0,0,0,0,0,0,0,1
Lekr1,NM_001166659,9,8,5,6,8.5,5.5,-1.545454545,1
Ccdc85a,NM_001166661,0,0,0,0,0,0,0,1
Ccdc85a,NM_001166662,0,0,0,0,0,0,0,1
Rtel1,NM_001166665,605,431,263,254,518,258.5,-2.003868472,0.061893688
Rtel1,NM_001166666,609,432,263,254,520.5,258.5,-2.013539652,0.053229224
Rtel1,NM_001166667,601,428,261,252,514.5,256.5,-2.005847953,0.059688635
Rtel1,NM_001166668,542,384,237,234,463,235.5,-1.966029724,0.114382816
Gemin5,NM_001166669,2017,1436,769,776,1726.5,772.5,-2.234951456,9.15E-05
Gemin5,NM_001166670,2016,1432,769,775,1724,772,-2.233160622,9.72E-05
Gemin5,NM_001166671,1934,1370,728,731,1652,729.5,-2.26456477,4.65E-05
Gm14548,NM_001166672,4,7,8,3,5.5,5.5,1,0.817240155
Ccdc45,NM_001166685,91,64,76,70,77.5,73,-1.061643836,0.00324422
1700101E01Rik,NM_001166705,0,1,0,0,0.5,0,0,1
Vmn1r55,NM_001166706,0,0,0,0,0,0,0,1
Vmn1r123,NM_001166707,0,0,0,0,0,0,0,1
Vmn1r119,NM_001166708,0,0,0,0,0,0,0,1
Vmn1r207-ps,NM_001166709,0,0,0,0,0,0,0,1
Vmn1r7,NM_001166710,0,0,0,0,0,0,0,1
Gm5725,NM_001166711,0,0,0,0,0,0,0,1
Vmn1r151,NM_001166712,0,0,0,0,0,0,0,1
Gm5728,NM_001166713,0,0,0,0,0,0,0,1
Vmn1r122,NM_001166714,0,0,0,0,0,0,0,1
Vmn1r120,NM_001166715,0,0,0,0,0,0,0,1
Vmn1r113,NM_001166716,0,0,0,0,0,0,0,1
Vmn1r173,NM_001166718,0,0,0,0,0,0,0,1
Vmn1r34,NM_001166719,0,0,0,0,0,0,0,1
Vmn1r39,NM_001166720,0,0,0,0,0,0,0,1
Vmn1r176,NM_001166721,0,0,0,0,0,0,0,1
Vmn1r170,NM_001166722,0,0,0,0,0,0,0,1
Vmn1r94,NM_001166723,0,0,0,0,0,0,0,1
Vmn1r160,NM_001166724,0,0,0,0,0,0,0,1
Vmn1r129,NM_001166725,0,0,0,0,0,0,0,1
Vmn1r127,NM_001166726,0,0,0,0,0,0,0,1
Vmn1r175,NM_001166727,0,0,0,0,0,0,0,1
Vmn1r1,NM_001166728,0,0,0,0,0,0,0,1
Vmn1r31,NM_001166729,0,0,0,0,0,0,0,1
Vmn1r77,NM_001166731,0,0,0,0,0,0,0,1
Vmn1r60,NM_001166732,0,0,0,0,0,0,0,1
Vmn1r61,NM_001166733,0,0,0,0,0,0,0,1
Vmn1r57,NM_001166734,0,0,0,0,0,0,0,1
Vmn1r224,NM_001166735,0,0,0,0,0,0,0,1
Vmn1r91,NM_001166736,0,0,0,0,0,0,0,1
Vmn1r103,NM_001166737,0,0,0,0,0,0,0,1
Vmn1r104,NM_001166738,0,0,0,0,0,0,0,1
Vmn1r128,NM_001166739,0,0,0,0,0,0,0,1
Vmn1r125,NM_001166740,0,0,0,0,0,0,0,1
Vmn1r121,NM_001166741,0,0,0,0,0,0,0,1
Vmn1r118,NM_001166742,0,0,0,0,0,0,0,1
Vmn1r117,NM_001166743,0,0,0,0,0,0,0,1
Vmn1r116,NM_001166744,0,0,0,0,0,0,0,1
Vmn1r115,NM_001166745,0,0,0,0,0,0,0,1
Vmn1r111,NM_001166746,0,0,0,0,0,0,0,1
Vmn1r135,NM_001166747,0,0,0,0,0,0,0,1
Vmn1r139,NM_001166748,0,0,0,0,0,0,0,1
Vmn1r142,NM_001166749,0,0,0,0,0,0,0,1
Vmn1r143,NM_001166750,0,0,0,0,0,0,0,1
Gm8660,NM_001166751,0,0,0,0,0,0,0,1
Vmn1r152,NM_001166752,0,0,0,0,0,0,0,1
Vmn1r155,NM_001166753,0,0,0,0,0,0,0,1
Vmn1r157,NM_001166754,0,0,0,0,0,0,0,1
Vmn1r163,NM_001166755,0,0,0,0,0,0,0,1
Gm8720,NM_001166756,0,0,0,0,0,0,0,1
Vmn1r124,NM_001166757,0,0,0,0,0,0,0,1
Vmn1r159,NM_001166758,0,0,0,0,0,0,0,1
Vmn1r107,NM_001166759,0,0,0,0,0,0,0,1
Vmn1r79,NM_001166835,0,0,0,0,0,0,0,1
Vmn1r101,NM_001166836,0,0,0,0,0,0,0,1
Vmn1r114,NM_001166837,0,0,0,0,0,0,0,1
Vmn1r126,NM_001166838,0,0,0,0,0,0,0,1
Gm4172,NM_001166839,0,0,0,0,0,0,0,1
Vmn1r149,NM_001166840,0,0,0,0,0,0,0,1
Vmn1r158,NM_001166841,0,0,0,0,0,0,0,1
Vmn1r168,NM_001166842,0,0,0,0,0,0,0,1
Vmn1r169,NM_001166843,0,0,0,0,0,0,0,1
Vmn1r100,NM_001166844,0,0,0,0,0,0,0,1
Vmn1r109,NM_001166845,0,0,0,0,0,0,0,1
Vmn1r110,NM_001166846,0,0,0,0,0,0,0,1
Vmn1r112,NM_001166847,0,0,0,0,0,0,0,1
Vmn1r130,NM_001166848,0,0,0,0,0,0,0,1
Vmn1r137,NM_001166849,0,0,0,0,0,0,0,1
Vmn1r165,NM_001166850,0,0,0,0,0,0,0,1
Gm5726,NM_001167146,0,0,0,0,0,0,0,1
Gm8677,NM_001167147,0,0,0,0,0,0,0,1
Gm16442,NM_001167148,0,0,0,0,0,0,0,1
Gm16451,NM_001167149,0,0,0,0,0,0,0,1
Gm8453,NM_001167150,0,0,0,0,0,0,0,1
Gm4498,NM_001167151,0,0,0,0,0,0,0,1
Gm6164,NM_001167153,0,0,0,0,0,0,0,1
Gm8693,NM_001167154,0,0,0,0,0,0,0,1
Gm4144,NM_001167155,0,0,0,0,0,0,0,1
Gm4133,NM_001167158,0,0,0,0,0,0,0,1
Gm4187,NM_001167159,0,0,0,0,0,0,0,1
Gm10665,NM_001167160,0,0,0,0,0,0,0,1
Gm10670,NM_001167161,0,0,0,0,0,0,0,1
Gm4201,NM_001167162,0,0,0,0,0,0,0,1
Gm4141,NM_001167163,0,0,0,0,0,0,0,1
Gm4214,NM_001167164,0,0,0,0,0,0,0,1
Gm4175,NM_001167165,0,0,0,0,0,0,0,1
Gm4216,NM_001167166,0,0,0,0,0,0,0,1
Gm4177,NM_001167167,0,0,0,0,0,0,0,1
Gm4220,NM_001167168,0,0,0,0,0,0,0,1
Gm4179,NM_001167169,0,0,0,0,0,0,0,1
Vmn1r2,NM_001167534,0,0,0,0,0,0,0,1
Vmn1r3,NM_001167535,0,0,0,0,0,0,0,1
Vmn1r86,NM_001167536,0,0,0,0,0,0,0,1
Vmn1r88,NM_001167537,0,0,0,0,0,0,0,1
Vmn1r95,NM_001167538,0,0,0,0,0,0,0,1
Vmn1r238,NM_001167539,0,0,0,0,0,0,0,1
Vmn1r184,NM_001167540,0,0,0,0,0,0,0,1
Vmn1r196,NM_001167541,0,0,0,0,0,0,0,1
Vmn1r221,NM_001167542,0,0,0,0,0,0,0,1
Vmn1r186,NM_001167567,0,0,0,0,0,0,0,1
Vmn1r187,NM_001167568,0,0,0,0,0,0,0,1
Gm10666,NM_001167573,0,0,0,0,0,0,0,1
Gm9880,NM_001167578,0,0,0,0,0,0,0,1
Gsdmcl1,NM_001167581,0,0,0,0,0,0,0,1
Gm17689,NM_001167584,0,0,0,0,0,0,0,1
Gm7257,NM_001167586,0,0,0,0,0,0,0,1
Gm5916,NM_001167587,0,0,0,0,0,0,0,1
Gm17677,NM_001167588,0,0,0,0,0,0,0,1
Gm17365,NM_001167592,1,0,0,0,0.5,0,0,1
Gm4934,NM_001167593,0,0,0,0,0,0,0,1
Spag7,NM_001167669,438,371,252,184,404.5,218,-1.855504587,0.331182529
Gm17727,NM_001167673,0,0,0,0,0,0,0,1
Wdr67,NM_001167679,777,517,165,198,647,181.5,-3.564738292,1.42E-17
Rhbdf2,NM_001167680,632,429,2514,2299,530.5,2406.5,4.536286522,5.40E-155
Sirt4,NM_001167691,100,65,24,25,82.5,24.5,-3.367346939,0.00013043
Gpr19,NM_001167693,127,93,37,48,110,42.5,-2.588235294,0.005436886
Gpr19,NM_001167694,119,90,35,45,104.5,40,-2.6125,0.005348889
Gpr19,NM_001167695,119,90,35,45,104.5,40,-2.6125,0.005348889
Gpr19,NM_001167696,119,90,35,45,104.5,40,-2.6125,0.005348889
Gpr19,NM_001167697,121,92,36,46,106.5,41,-2.597560976,0.006130595
Gpr19,NM_001167699,121,92,36,46,106.5,41,-2.597560976,0.006130595
Gpr19,NM_001167700,119,90,35,45,104.5,40,-2.6125,0.005348889
Serpina3a,NM_001167705,0,0,0,0,0,0,0,1
Rad18,NM_001167730,449,323,300,279,386,289.5,-1.333333333,0.03692929
Chchd6,NM_001167736,84,81,50,42,82.5,46,-1.793478261,1
Slfn8,NM_001167743,499,266,2840,2931,382.5,2885.5,7.54379085,1.64E-227
Wasl,NM_001167745,21,18,11,25,19.5,18,-1.083333333,0.277879683
Dnahc17,NM_001167746,8,9,8,7,8.5,7.5,-1.133333333,0.772260305
Egfem1,NM_001167748,0,0,0,0,0,0,0,1
Ccdc132,NM_001167750,589,396,321,359,492.5,340,-1.448529412,0.226176312
Ccdc132,NM_001167751,261,199,159,175,230,167,-1.377245509,0.170403
Ankrd7,NM_001167757,0,0,0,0,0,0,0,1
Ift122,NM_001167763,88,71,63,45,79.5,54,-1.472222222,0.92662982
1110057K04Rik,NM_001167767,3883,2805,2268,1974,3344,2121,-1.576614804,0.963513175
1110057K04Rik,NM_001167768,668,522,448,386,595,417,-1.426858513,0.195313168
Rbm10,NM_001167775,565,370,276,263,467.5,269.5,-1.734693878,1
Rbm10,NM_001167776,546,352,269,255,449,262,-1.713740458,1
Asxl3,NM_001167777,0,0,0,0,0,0,0,1
Tcirg1,NM_001167784,1730,1254,1661,1654,1492,1657.5,1.110924933,2.34E-17
Defa17,NM_001167790,0,0,0,0,0,0,0,1
Gm3286,NM_001167792,0,0,0,0,0,0,0,1
Gm3286,NM_001167793,0,0,0,0,0,0,0,1
Stx5a,NM_001167799,578,452,465,461,515,463,-1.112311015,4.09E-06
Rnls,NM_001167818,8,14,8,7,11,7.5,-1.466666667,1
Trim30d,NM_001167828,24,8,729,839,16,784,49,2.48E-267
Fam45a,NM_001167829,559,356,347,310,457.5,328.5,-1.392694064,0.082873473
AI846148,NM_001167831,57,43,40,35,50,37.5,-1.333333333,0.499354333
Zfp764,NM_001167832,190,143,36,48,166.5,42,-3.964285714,2.28E-10
Wipf3,NM_001167860,20,15,1,2,17.5,1.5,-11.66666667,0.000315619
Wipf3,NM_001167861,20,15,1,2,17.5,1.5,-11.66666667,0.000315619
Hps5,NM_001167864,533,373,294,289,453,291.5,-1.554030875,0.906732162
Zfp568,NM_001167872,1242,930,673,693,1086,683,-1.590043924,1
Zfp568,NM_001167873,1242,930,673,693,1086,683,-1.590043924,1
Cyp2c50,NM_001167875,0,0,0,0,0,0,0,1
Skint5,NM_001167876,0,0,0,0,0,0,0,1
Cyp2c50,NM_001167877,0,0,0,0,0,0,0,1
Skint5,NM_001167878,0,0,0,0,0,0,0,1
Fam59b,NM_001167879,0,0,0,0,0,0,0,1
Ankrd50,NM_001167883,217,169,223,237,193,230,1.191709845,1.24E-11
