Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
Hspa2,NM_001002012,35,25,83,64,30,73.5,2.45,3.77E-17
Tdrd1,NM_001002238,0,0,0,0,0,0,0,1
Rpl17,NM_001002239,2048,1766,1452,1353,1907,1402.5,-1.359714795,0.028601735
Tdrd1,NM_001002240,0,0,0,0,0,0,0,1
Tdrd1,NM_001002241,0,0,0,0,0,0,0,1
Tmem158,NM_001002267,568,428,8,4,498,6,-83,4.98E-117
Gpr126,NM_001002268,0,0,0,0,0,0,0,1
Tro,NM_001002272,0,0,0,0,0,0,0,1
Smg6,NM_001002764,790,540,439,331,665,385,-1.727272727,1
Rab44,NM_001002786,6,5,0,0,5.5,0,0,0.012272153
Ccin,NM_001002787,0,0,0,0,0,0,0,1
Defb22,NM_001002791,0,0,0,0,0,0,0,1
Pram1,NM_001002842,16,8,3,1,12,2,-6,0.043941604
Fbxl12,NM_001002846,143,106,150,137,124.5,143.5,1.152610442,2.03E-08
Nlrp14,NM_001002894,0,0,0,0,0,0,0,1
AI413582,NM_001002895,148,127,136,158,137.5,147,1.069090909,8.75E-07
Bfsp2,NM_001002896,0,0,0,0,0,0,0,1
Atg9b,NM_001002897,335,238,57,46,286.5,51.5,-5.563106796,6.12E-24
Sirpb1a,NM_001002898,7,11,6,4,9,5,-1.8,1
Higd1c,NM_001002900,0,0,0,0,0,0,0,1
Penk,NM_001002927,0,0,0,0,0,0,0,1
Nup85,NM_001002929,610,413,165,124,511.5,144.5,-3.539792388,8.49E-16
Igfl3,NM_001003393,0,0,0,0,0,0,0,1
Try5,NM_001003405,0,0,0,0,0,0,0,1
Gm5409,NM_001003664,0,0,0,0,0,0,0,1
Zfp457,NM_001003666,6,3,0,3,4.5,1.5,-3,1
Krt77,NM_001003667,0,0,0,0,0,0,0,1
Krt83,NM_001003668,0,1,0,0,0.5,0,0,1
Gm5414,NM_001003670,0,0,1,2,0,1.5,0,0.290371755
Pcdhac1,NM_001003671,712,432,103,111,572,107,-5.345794393,5.75E-33
Pcdhac2,NM_001003672,1436,971,184,224,1203.5,204,-5.899509804,8.12E-52
Ghrhr,NM_001003685,0,0,0,0,0,0,0,1
Osbpl8,NM_001003717,6680,4248,3370,3029,5464,3199.5,-1.707766839,1
Ralgapa1,NM_001003719,739,529,688,592,634,640,1.009463722,1.07E-10
Epb4.1l1,NM_001003815,570,386,141,106,478,123.5,-3.870445344,2.24E-18
Erbb2,NM_001003817,0,0,0,0,0,0,0,1
Kcnq2,NM_001003824,0,0,0,0,0,0,0,1
Kcnq2,NM_001003825,0,0,0,0,0,0,0,1
Masp2,NM_001003893,0,0,0,0,0,0,0,1
Tardbp,NM_001003898,5310,3370,2833,2914,4340,2873.5,-1.510353228,0.305928156
Tardbp,NM_001003899,5282,3356,2818,2901,4319,2859.5,-1.510403917,0.306934458
Cltc,NM_001003908,9125,5737,9227,8390,7431,8808.5,1.18537209,4.48E-24
Ankib1,NM_001003909,962,635,1571,1595,798.5,1583,1.982467126,7.73E-61
BC030307,NM_001003910,24,23,15,9,23.5,12,-1.958333333,1
Adamts7,NM_001003911,0,2,0,2,1,1,1,1
Arhgef11,NM_001003912,400,288,140,125,344,132.5,-2.596226415,1.22E-05
